2020-12-04 17:58:12.607 - INFO - 6349 - azureml.train.automl.automlconfig._start_execution:219 - No compute target or run config provided. Running local legacy run.
2020-12-04 17:58:12.609 - INFO - 6349 - azureml.train.automl.automlconfig._start_execution:259 - Submitting local legacy run.
2020-12-04 17:58:12.609 - INFO - 6349 - azureml.automl.core.package_utilities._log_activity:54 - ActivityStarted: PackagesCheck
2020-12-04 17:58:12.613 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-core, Version: 1.18.0 found.
2020-12-04 17:58:12.614 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: ipywidgets, Version: 7.5.1 found.
2020-12-04 17:58:12.615 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-telemetry, Version: 1.18.0 found.
2020-12-04 17:58:12.618 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-pipeline-core, Version: 1.18.0 found.
2020-12-04 17:58:12.618 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-train-core, Version: 1.18.0 found.
2020-12-04 17:58:12.619 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-train-automl-client, Version: 1.18.0 found.
2020-12-04 17:58:12.629 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-telemetry, Version: 1.18.0 found.
2020-12-04 17:58:12.629 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azureml-dataset-runtime, Version: 1.18.0 found.
2020-12-04 17:58:12.631 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-mgmt-keyvault, Version: 2.2.0 found.
2020-12-04 17:58:12.631 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-common, Version: 1.1.25 found.
2020-12-04 17:58:12.631 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: msrestazure, Version: 0.6.4 found.
2020-12-04 17:58:12.632 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: pytz, Version: 2020.4 found.
2020-12-04 17:58:12.633 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: backports.tempfile, Version: 1.0 found.
2020-12-04 17:58:12.633 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: urllib3, Version: 1.25.11 found.
2020-12-04 17:58:12.633 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: cryptography, Version: 3.2.1 found.
2020-12-04 17:58:12.633 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: ruamel.yaml, Version: 0.16.12 found.
2020-12-04 17:58:12.633 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: jsonpickle, Version: 1.4.1 found.
2020-12-04 17:58:12.634 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: pyjwt, Version: 1.7.1 found.
2020-12-04 17:58:12.634 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-mgmt-storage, Version: 11.2.0 found.
2020-12-04 17:58:12.635 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: azure-mgmt-resource, Version: 10.3.0 found.
2020-12-04 17:58:12.635 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: docker, Version: 4.3.1 found.
2020-12-04 17:58:12.635 - INFO - 6349 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:277 - Package: adal, Version: 1.2.5 found.
